relation_set,stage3_run_name,mean_base_auprc,mean_cover_auprc,mean_delta_auprc,mean_delta_roc_auc,mean_delta_macro_f1,mean_ranking_gap,mean_ranking_gap_delta,mean_fn_correction_rate,mean_residual_shift_max_abs,go
all,qwen_directional_t200_cover_rel_nollm,0.46796655239607055,0.4877386526132634,0.019772100217192872,0.005973779496485809,0.006111959943681855,-0.8464047511418661,0.26444011926651,0.03360579884284773,0.199999729792277,True
rur,qwen_directional_t200_cover_rel_rur_nollm,0.46796655239607055,0.49269161021860713,0.024725057822536606,0.007059406352780758,0.011497065256984462,-0.8701174457867941,0.2642131447792053,0.03820113608782147,0.19992399215698242,True
rsr,qwen_directional_t200_cover_rel_rsr_nollm,0.46796655239607055,0.4677078914301805,-0.00025866096589005627,-9.512103140459545e-05,-0.01761554181217832,-0.7928885022799174,0.2664479613304138,0.006256567122600813,0.20000004768371582,False
rtr,qwen_directional_t200_cover_rel_rtr_nollm,0.46796655239607055,0.4690301682102056,0.0010636158141350733,0.00020200212017829067,-0.015836397360398474,-0.7981233994166056,0.26220834255218506,0.009392566761407296,0.20000004768371582,False
