dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_intervention,diag_mean_intervention_judge_accepted,diag_mean_intervention_judge_rejected,diag_mean_intervention_base_correct,diag_mean_intervention_base_wrong,diag_mean_abs_alpha_delta_llm,diag_mean_abs_alpha_delta_llm_accepted,diag_mean_abs_alpha_delta_llm_rejected,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_key_agreement,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp5em4_lalign5em3,42,True,True,0.5415843809792048,0.8582526208544875,0.7183011719036032,0.7204899252261545,1.5251976251602173,1.5251976251602173,nan,nan,1.4914802312850952,1.7469749450683594,1.1886759132551106e-08,1.4006259334564675e-05,0.0,4.0266004361910746e-06,0.004744573961943388,0.0,0.0,0.0018066803459078074,0.15476253628730774,1.0,0.9998053908348083,7.799421291565523e-05,0.0001166410802397877
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp5em4_lalign1em2,42,True,True,0.5431164815631191,0.8585584419208419,0.7230472070672701,0.7105684473774654,1.4914970397949219,1.4914971590042114,nan,nan,1.4557816982269287,1.7322874069213867,3.8088901987975987e-07,0.00044880443601869047,0.0,4.5839128688385244e-06,0.005401259753853083,0.0,0.0,0.0036391366738826036,0.10147616267204285,1.0,0.9995161294937134,0.00036995881237089634,0.00011401031952118501
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp5em4_lalign2em2,42,True,True,0.5430789691056549,0.8585430597181432,0.7227717879604671,0.710279371931905,1.4918973445892334,1.4918975830078125,nan,nan,1.456089735031128,1.733062505722046,3.805498920428363e-07,0.0004484048404265195,0.0,4.584684120345628e-06,0.00540216825902462,0.0,0.0,0.0001513726747361943,0.10368257761001587,1.0,0.9999874830245972,6.969711648707744e-06,5.59886666451348e-06
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp1em3_lalign5em3,42,True,True,0.5430585881040759,0.8587621756806731,0.7213351000036949,0.7067865448060422,1.4678524732589722,1.4678524732589722,nan,nan,1.4312344789505005,1.7170844078063965,2.0101046160903024e-08,2.3685217456659302e-05,0.0,4.025597263535019e-06,0.004743392113596201,0.0,0.0,0.0038206439930945635,0.08739327639341354,1.0,0.9995770454406738,0.00015891263319645077,0.00026406851247884333
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp1em3_lalign1em2,42,True,True,0.5430590059122753,0.8587620088713488,0.7213351000036949,0.7067865448060422,1.4679292440414429,1.4679292440414429,nan,nan,1.4313173294067383,1.7171082496643066,2.01011172151766e-08,2.3685301130171865e-05,0.0,4.025596808787668e-06,0.004743392113596201,0.0,0.0,0.0031249127350747585,0.08705733716487885,1.0,0.9996625781059265,0.0001326645869994536,0.00020473269978538156
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp1em3_lalign2em2,42,True,True,0.5430568794932784,0.8587625450441773,0.7213351000036949,0.7067865448060422,1.4679970741271973,1.4679970741271973,nan,nan,1.431388258934021,1.7171587944030762,2.0102765674323564e-08,2.3687243810854852e-05,0.0,4.025594535050914e-06,0.00474338885396719,0.0,0.0,0.002268698764964938,0.08645445853471756,1.0,0.9997647404670715,9.281585516873747e-05,0.00014244405610952526
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp2em3_lalign5em3,42,True,True,0.543016677609448,0.8586092830199237,0.7215358259080232,0.7055683362066765,1.4730383157730103,1.4730383157730103,nan,nan,1.4376546144485474,1.7101624011993408,3.914875179589217e-08,4.612926932168193e-05,0.0,4.042310138174798e-06,0.0047630853950977325,0.0,0.0,0.004167062230408192,0.08905775845050812,1.0,0.9995243549346924,0.00021652090072166175,0.000259104126598686
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp2em3_lalign1em2,42,True,True,0.5430167462548847,0.8586094498292479,0.7215358259080232,0.7055683362066765,1.4731744527816772,1.4731746912002563,nan,nan,1.4377927780151367,1.710277795791626,3.916059299058361e-08,4.614322824636474e-05,0.0,4.042308773932746e-06,0.004763083998113871,0.0,0.0,0.003132148878648877,0.088292695581913,1.0,0.9996550679206848,0.00016130747098941356,0.0001836489245761186
yelpchi,bwgnn,phase2_yelpchi_bwgnn_full_cover_lsp2em3_lalign2em2,42,True,True,0.5430133003632679,0.858607185988417,0.7215358259080232,0.7055683362066765,1.4732844829559326,1.4732844829559326,nan,nan,1.4379078149795532,1.7103450298309326,3.916471058573734e-08,4.61480813100934e-05,0.0,4.042316959385062e-06,0.0047630928456783295,0.0,0.0,0.0020183417946100235,0.0873103067278862,1.0,0.9997895956039429,0.00010182352707488462,0.00010871410631807521
