dataset,model,run_name,n_seeds_present,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,g_means_mean,g_means_std,mean_abs_delta_rel_mean,mean_abs_delta_rel_std,mean_alpha_llm_mean,mean_alpha_llm_std,mean_alpha_llm_accepted_mean,mean_alpha_llm_accepted_std,mean_alpha_llm_rejected_mean,mean_alpha_llm_rejected_std,max_abs_alpha_llm_rejected_mean,max_abs_alpha_llm_rejected_std,mean_gate_entropy_mean,mean_gate_entropy_std,mean_dominance_rho_mean,mean_dominance_rho_std,gate_weight_rel_0_mean,gate_weight_rel_0_std,gate_weight_rel_1_mean,gate_weight_rel_1_std,gate_weight_rel_2_mean,gate_weight_rel_2_std
yelpchi,bwgnn,phase2_yelp_s1_ltrust_0,5,0.566611185625209,0.015307088019224263,0.8664705560929595,0.004845151006069636,0.7279704785698531,0.004465770250143217,0.7064572510265821,0.009688945345015914,1.5127340316772462,0.04540316930664141,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.004968016827479005,0.005090226644674226,0.7320376038551331,0.14068746995148074,0.9993626713752747,0.0007342265697120297,0.0004794548643985763,0.0007475106170540954,0.00015790228644618765,6.1257105103705e-05
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em3,5,0.5667165614898088,0.015374309674657438,0.8664625158835243,0.005012916591357313,0.7281334712372012,0.004718238962232339,0.7066648916246614,0.014620295560042143,1.5113414525985718,0.04734602883528015,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.004876104695722461,0.0044030109041989915,0.7338349223136902,0.14792734456738485,0.9993839740753174,0.000624514695415603,0.0004472759537748061,0.0006501335853462619,0.00016874601133167743,6.0740350524769723e-05
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em3,5,0.5669811624386588,0.015194106350073264,0.8667285433940518,0.005004548022984862,0.7276296513883533,0.005838361765705303,0.7103225945543368,0.011975217859335039,1.4778645992279054,0.055178567145860564,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.006447411794215441,0.004971130067775338,0.6894052028656006,0.18617012737138883,0.9991455316543579,0.0007290010178149941,0.0005414974933955818,0.0005497895264536176,0.000312975091219414,0.00035684469787080605
yelpchi,bwgnn,phase2_yelp_s1_ltrust_1em2,5,0.5673788760184476,0.014696735735537637,0.8670023466020857,0.00433540825701069,0.7285586610839634,0.004697592772361362,0.7094321915555005,0.010695543318532513,1.3910447835922242,0.0444833637015528,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.006664514914155007,0.006249870454993021,0.5472903907299042,0.12867551285037157,0.9991206765174866,0.0009303804864549353,0.0006372324554831721,0.0009524690509954157,0.00024210925330407916,0.00010379233469543222
yelpchi,bwgnn,phase2_yelp_s1_ltrust_3em2,5,0.569968421837838,0.01746333068223554,0.868293150516033,0.005201027265535723,0.7301322666493364,0.005487511055564093,0.7119722227234716,0.005633350000136038,1.2013094663619994,0.026845221772685068,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.08582823826000094,0.10513360664244835,0.471651104092598,0.2666173921793577,0.9567999958992004,0.06285172473881093,0.04040764613309875,0.05988412215258185,0.0027924237205297687,0.003060936276431073
yelpchi,bwgnn,phase2_yelp_s2_lsparse_0,5,0.5669813297795251,0.015247508479671365,0.8665494878822677,0.005077813979378527,0.7277296898886003,0.005803718591846824,0.7097769106243401,0.01188237018648198,1.4863531589508057,0.053450010903868236,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0056516972836107016,0.005454554268351646,0.6735575437545777,0.13908147561125977,0.999267303943634,0.0007944793829978327,0.0005411463149357587,0.0008179142178160072,0.00019159753137500956,7.596590604563314e-05
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em4,5,0.5669564136980187,0.015236488554737585,0.8666597822075504,0.004932804185481085,0.7276208651576646,0.005715447766140567,0.7105066334492963,0.011753657362911445,1.4781190395355224,0.050652270345489435,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.006399849522858858,0.005442776968332189,0.6660655260086059,0.14438816673705368,0.9991573214530944,0.0007933776324756712,0.0005940080911386759,0.0008033078522212858,0.0002486830373527482,0.00019458568039376034
yelpchi,bwgnn,phase2_yelp_s2_lsparse_1em3,5,0.5669811624386588,0.015194106350073264,0.8667285433940518,0.005004548022984862,0.7276296513883533,0.005838361765705303,0.7103225945543368,0.011975217859335039,1.4778645992279054,0.055178567145860564,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.006447411794215441,0.004971130067775338,0.6894052028656006,0.18617012737138883,0.9991455316543579,0.0007290010178149941,0.0005414974933955818,0.0005497895264536176,0.000312975091219414,0.00035684469787080605
yelpchi,bwgnn,phase2_yelp_s2_lsparse_3em3,5,0.5670031882829096,0.015052106718948454,0.8667753524734642,0.004919571824170188,0.7272217635760635,0.005869479821077604,0.708626965447577,0.011860106290570998,1.4840029716491698,0.0511068848456901,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.004515706282109022,0.0036937789439789605,0.6598916888237,0.12765465698124007,0.999440324306488,0.0005099396186053885,0.00039419630338670685,0.0005414999922253274,0.00016553050809307024,4.883098499519016e-05
yelpchi,bwgnn,phase2_yelp_s3_lalign_0,5,0.5669563407436095,0.01489084151382728,0.8666497900771462,0.004742138740171824,0.7287287915379187,0.005026034259967209,0.7103103973493655,0.013100212120655362,1.4884079694747925,0.05183708555390129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03282569469884038,0.05770474024962452,0.6911211411158243,0.15975225631783113,0.989004909992218,0.022386525161325783,0.000842048331105616,0.0011372925891856983,0.010153083529439754,0.0223105777535526
