dataset,experiment,run_name,n_seeds,phase2_auprc_mean,phase2_auprc_std,delta_vs_base_mean,delta_vs_base_std,delta_vs_base_t,delta_vs_gate_mean,delta_vs_gate_std,delta_vs_gate_t,mean_abs_delta_rel,gate_entropy,mean_alpha_llm,mean_alpha_llm_accepted,max_abs_alpha_llm_rejected,judge_gate_cos_mean,judge_gate_cos_std
yelpchi,E0,phase2_E0_relgate,5,0.45034558475699804,0.08914645104741073,0.22577618559120863,0.08512190761764554,5.930916174367982,0.003863985965468497,0.06953880153811995,0.12424912554980322,1.362814712524414,0.2067200847901404,0.0,nan,0.0,0.9698976624380273,0.036513214853229996
yelpchi,E1,phase2_E1_judge_align,5,0.4535323229659182,0.08881837654827339,0.2289629238001288,0.08721971500627344,5.869964857227148,0.00705072417438869,0.07021839767578299,0.22452660650745032,1.3590719938278197,0.23367959083989262,0.0,0.0,0.0,0.9787093418587289,0.02392408354805366
yelpchi,E2,phase2_E2_judge_residual,5,0.45387170436685276,0.08907096115228931,0.22930230520106334,0.0875054641950117,5.859468851960105,0.007390105575323225,0.0705001453799043,0.23439353689663775,1.3571413516998292,0.23962680324912072,3.098826409768663e-05,0.03506654044613242,0.0,0.9775426722867175,0.025111213584983905
amazon,E0,phase2_E0_relgate,1,0.7414941711239985,0.0,6.265280885098257e-06,0.0,nan,-0.013844356806179015,0.0,nan,1.4238797426223755,0.0012194798327982426,0.0,nan,0.0,0.09955701627888876,0.0
amazon,E1,phase2_E1_judge_align,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
amazon,E2,phase2_E2_judge_residual,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
