variant,run_name,seed,status,auprc,roc_auc,macro_f1,f1,delta_auprc_vs_anchor,delta_auprc_vs_original_judge,delta_macro_f1_vs_anchor,delta_macro_f1_vs_original_judge,alpha_llm_mean,alpha_llm_max,alpha_fake,alpha_real,alpha_uncertain,alpha_weak,alpha_moderate,alpha_strong,delta_llm_mean,delta_llm_max_abs,final_vs_rel_delta_abs_mean,llm_near_cap_fraction,llm_near_cap_delta_vs_original,near_cap_fraction,near_cap_delta_vs_original,ranking_gap_delta
original_judge,cover_rel_judge_uvu,123,complete,0.861426560368356,0.9820866773675763,0.9176982492653363,0.8459016393442623,0.0007371401659311827,0.0,0.0,0.0,0.13548758625984192,0.16213883459568024,,,,0.0,0.13331198692321777,0.13608093559741974,0.17833706736564636,0.5125008821487427,0.028674880042672157,0.0,0.0,0.5836403369903564,0.0,-0.08059263229370117
original_judge,cover_rel_judge_uvu,456,complete,0.8621677596186,0.9755288412281001,0.9139330344016465,0.8388157894736842,0.0006935392127181972,0.0,0.0,0.0,0.9959881901741028,1.0,,,,0.0,0.998361349105835,0.9952706694602966,-0.9371738433837891,0.9852405786514282,0.9683355093002319,1.0,0.0,0.9791527390480042,0.0,0.19848871231079102
original_judge,cover_rel_judge_uvu,789,complete,0.8158252314189239,0.9176284962945254,0.9146804577806644,0.8401976935749588,-0.0009104023632939828,0.0,-0.0007496911323501276,0.0,0.19335032999515533,0.2932623326778412,,,,0.0,0.1764076203107834,0.1995488554239273,-0.5521989464759827,0.6241954565048218,0.1073005273938179,0.0,0.0,0.7865874171257019,0.0,0.3325769901275635
original_judge,cover_rel_judge_uvu,mean,3/3 complete,0.84647318380196,0.9584146716300672,0.9154372471492157,0.8416383741309684,0.00017342567178513235,0.0,-0.0002498970441167092,0.0,0.4416087021430333,0.48513372242450714,,,,0.0,0.43602698544661206,0.44363348682721454,-0.4370119074980418,0.7073123057683309,0.3681036389122407,0.3333333333333333,0.0,0.7831268310546875,0.0,0.15015769004821777
original_judge,cover_rel_judge_uvu,std,3/3 complete,0.026544492517973934,0.03547372799106726,0.00199342879323586,0.0037561932119422833,0.0009388757468365354,0.0,0.00043283437707142156,0.0,0.48097763652828773,0.45068149038501565,,,,0.0,0.4874723180020443,0.4787846385999652,0.5666058493005857,0.24708705578395337,0.5213005100490948,0.5773502691896257,0.0,0.19777890885359534,0.0,0.21078235222058228
delta05,cover_rel_judge_uvu_delta05,123,complete,0.861435271321042,0.9820887264779208,0.9176982492653363,0.8459016393442623,0.0007458511186172467,8.710952686064033e-06,0.0,0.0,0.13355764746665955,0.1598338484764099,0.13416966795921326,0.13320134580135345,0.13220921158790588,0.0,0.13168975710868835,0.13406707346439362,0.08908654004335403,0.2562461495399475,0.014122211374342442,0.0,0.0,0.5843101143836975,0.0006697773933410645,-0.08098316192626953
delta05,cover_rel_judge_uvu_delta05,456,complete,0.8619899607865223,0.9759461767016154,0.9129212919617091,0.8369028006589786,0.0005157403806405059,-0.00017779883207769132,-0.001011742439937402,-0.001011742439937402,0.9392563104629517,0.9993637204170227,0.9435655474662781,0.9396541118621826,0.9178010821342468,0.0,0.9396389722824097,0.9391406774520874,-0.4472174346446991,0.47090646624565125,0.4356524348258972,1.0,0.0,0.9473375678062439,-0.031815171241760254,0.24811553955078125
delta05,cover_rel_judge_uvu_delta05,789,complete,0.8165131265884512,0.9177056794508385,0.9156895030873272,0.8421052631578947,-0.0002225071937667078,0.000687895169527275,0.00025935417431266483,0.0010090453066627925,0.9939175248146057,1.0,0.9945433139801025,0.9742441177368164,0.9977751970291138,0.0,0.9966900944709778,0.9929031729698181,-0.49073341488838196,0.49224352836608887,0.48775431513786316,1.0,1.0,0.8391661047935486,0.05257868766784668,0.3368353843688965
delta05,cover_rel_judge_uvu_delta05,mean,3/3 complete,0.8466461195653385,0.9585801942101249,0.9154363481047909,0.8416365677203785,0.0003463614351636816,0.00017293576337854924,-0.00025079608854157903,-8.9904442486984e-07,0.6889104942480723,0.7197325229644775,0.6907595098018646,0.6823665251334509,0.6825951635837555,0.0,0.6893396079540253,0.688703641295433,-0.282954769829909,0.4064653813838959,0.3125096537793676,0.6666666666666666,0.3333333333333333,0.79027126232783,0.007144431273142497,0.16798925399780273
delta05,cover_rel_judge_uvu_delta05,std,3/3 complete,0.02609741116298002,0.035531355125352874,0.0023985195129613652,0.0045176908903555016,0.0005059114306564992,0.0004556137261309648,0.0006716365529140834,0.0010103941732873519,0.4817255965897638,0.48488658001954255,0.48269438799462466,0.4759053611483514,0.478322576175417,0.0,0.4837806576813645,0.4810809633134738,0.32293104886848856,0.1305303825430014,0.25972090948125404,0.5773502691896257,0.5773502691896257,0.1863873981776272,0.042567848343099055,0.2201323479964713
alpha05,cover_rel_judge_uvu_alpha05,123,complete,0.861435271321042,0.9820887264779208,0.9176982492653363,0.8459016393442623,0.0007458511186172467,8.710952686064033e-06,0.0,0.0,0.06677882373332977,0.07991692423820496,0.06708482652902603,0.06660067290067673,0.06610460579395294,0.0,0.06584487855434418,0.06703353673219681,0.17817309498786926,0.512492299079895,0.014122211374342442,0.0,0.0,0.5843101143836975,0.0006697773933410645,-0.08098316192626953
alpha05,cover_rel_judge_uvu_alpha05,456,complete,0.8619905899637855,0.9759468597383969,0.9129212919617091,0.8369028006589786,0.0005163695579036842,-0.00017716965481451297,-0.001011742439937402,-0.001011742439937402,0.46958738565444946,0.4996809661388397,0.4717409610748291,0.46979326009750366,0.4588567912578583,0.0,0.46978580951690674,0.46952736377716064,-0.8944372534751892,0.9418149590492249,0.43561574816703796,1.0,0.0,0.9474213123321533,-0.03173142671585083,0.24815702438354492
alpha05,cover_rel_judge_uvu_alpha05,789,complete,0.8165131265884513,0.9177056794508384,0.9156895030873272,0.8421052631578947,-0.00022250719376659678,0.000687895169527386,0.00025935417431266483,0.0010090453066627925,0.49695876240730286,0.5,0.4972715973854065,0.4871220588684082,0.4988875985145569,0.0,0.4983450472354889,0.49645158648490906,-0.9814668297767639,0.9844870567321777,0.48775431513786316,1.0,1.0,0.8391661047935486,0.05257868766784668,0.3368353843688965
alpha05,cover_rel_judge_uvu_alpha05,mean,3/3 complete,0.846646329291093,0.958580421889052,0.9154363481047909,0.8416365677203785,0.0003465711609181114,0.00017314548913297903,-0.00025079608854157903,-8.9904442486984e-07,0.34444165726502735,0.3598659634590149,0.34536579499642056,0.3411719972888629,0.3412829985221227,0.0,0.34465857843557995,0.3443374956647555,-0.5659103294213613,0.8129314382870992,0.3124974248930812,0.6666666666666666,0.3333333333333333,0.7902991771697998,0.007172346115112305,0.16800308227539062
alpha05,cover_rel_judge_uvu_alpha05,std,3/3 complete,0.026097596125651334,0.035531522044576776,0.0023985195129613652,0.0045176908903555016,0.0005060168742293818,0.00045537163411965396,0.0006716365529140834,0.0010103941732873519,0.2408522055327189,0.24244303220786131,0.24133623102627796,0.2379435457181441,0.23915053261648794,0.0,0.24188161762702118,0.24052929690966288,0.6458627126938303,0.2610612653302673,0.25971221298430985,0.5773502691896257,0.5773502691896257,0.1864226863351915,0.04252953558215817,0.2201398992315102
conservative,cover_rel_judge_uvu_conservative,123,complete,0.8614286977103154,0.9820866773675762,0.9176982492653363,0.8459016393442623,0.0007392775078906011,2.137341959418393e-06,0.0,0.0,0.06299304217100143,0.0685315653681755,0.06307458877563477,0.0629996731877327,0.0628032311797142,0.0,0.06268283724784851,0.0630776435136795,0.08890088647603989,0.25643235445022583,0.00664011063054204,0.0,0.0,0.5843938589096069,0.0007535219192504883,-0.08122062683105469
conservative,cover_rel_judge_uvu_conservative,456,complete,0.8621502931012871,0.975959837437246,0.9139330344016465,0.8388157894736842,0.0006760726954052609,-1.7466517312936247e-05,0.0,0.0,0.08264245837926865,0.09744741022586823,0.08262120187282562,0.08316671848297119,0.08215630799531937,0.0,0.08398706465959549,0.08223595470190048,-0.34423351287841797,0.37129437923431396,0.029392490163445473,0.0,-1.0,0.9748827815055847,-0.004269957542419434,0.19198107719421387
conservative,cover_rel_judge_uvu_conservative,789,complete,0.8166145280104622,0.9177541750623271,0.9156895030873272,0.8421052631578947,-0.00012110577175572512,0.0007892965915382577,0.00025935417431266483,0.0010090453066627925,0.4059639573097229,0.4975301921367645,0.41108399629592896,0.3276140093803406,0.40654510259628296,0.0,0.39208337664604187,0.411042183637619,-0.4847760498523712,0.4871213734149933,0.1968293935060501,0.8035714030265808,0.8035714030265808,0.8364869356155396,0.049899518489837646,0.3343620300292969
conservative,cover_rel_judge_uvu_conservative,mean,3/3 complete,0.8467311729406882,0.9586002299557165,0.91577359558477,0.8422742306586137,0.000431414810513379,0.00025798913872824664,8.645139143755494e-05,0.00033634843555426414,0.183866485953331,0.2211697225769361,0.18559326231479645,0.15792680035034815,0.18383488059043884,0.0,0.1795844261844953,0.18545192728439966,-0.24670289208491644,0.37161603569984436,0.07762066476667921,0.2678571343421936,-0.06547619899113973,0.7985878586769104,0.0154610276222229,0.1483741601308187
conservative,cover_rel_judge_uvu_conservative,std,3/3 complete,0.026084274982583856,0.035506121896770146,0.0018840154998120836,0.003545945516969698,0.0004795393179433456,0.00046023014338827175,0.00014973820235487017,0.0005825725794262917,0.19259280873518855,0.2397714815662096,0.19552511566140351,0.14729897864641256,0.19311529622217127,0.0,0.18433751784931623,0.19560159263929727,0.29901584124099895,0.11534484585317661,0.10386269036254071,0.4639421658504817,0.9035667108352116,0.19798397584689015,0.029930186708481174,0.21119519071846202
strength_gate,cover_rel_judge_uvu_strength_gate,123,complete,0.8614409108732862,0.9820880434411393,0.9176982492653363,0.8459016393442623,0.0007514906708614433,1.4350504930260577e-05,0.0,0.0,0.06730160862207413,0.095518559217453,0.0871398001909256,0.08799105137586594,0.0175465140491724,0.0,0.020434007048606873,0.0800836905837059,0.08903490006923676,0.2553878724575043,0.008085435256361961,0.0,0.0,0.5843101143836975,0.0006697773933410645,-0.08113956451416016
strength_gate,cover_rel_judge_uvu_strength_gate,456,complete,0.8621615147539828,0.9759693999521875,0.9139330344016465,0.8388157894736842,0.0006872943481009974,-6.244864617199752e-06,0.0,0.0,0.27091914415359497,0.5514273643493652,0.30017128586769104,0.33021464943885803,0.06160738691687584,0.0,0.1280188113451004,0.3141215741634369,-0.4030432105064392,0.43197545409202576,0.11286578327417374,0.0535714291036129,-0.9464285708963871,0.9749665260314941,-0.00418621301651001,0.19240283966064453
strength_gate,cover_rel_judge_uvu_strength_gate,789,complete,0.8166121653572245,0.917739831289915,0.9156895030873272,0.8421052631578947,-0.0001234684249934448,0.000786933938300538,0.00025935417431266483,0.0010090453066627925,0.45098239183425903,0.6941308379173279,0.5170042514801025,0.37323299050331116,0.10876543819904327,0.0,0.2289576679468155,0.5322109460830688,-0.4848525822162628,0.48698875308036804,0.21867641806602478,0.6428571343421936,0.6428571343421936,0.836570680141449,0.04998326301574707,0.3342442512512207
strength_gate,cover_rel_judge_uvu_strength_gate,mean,3/3 complete,0.8467381969948312,0.9585990915610806,0.91577359558477,0.8422742306586137,0.00043843886465633197,0.0002650131928711996,8.645139143755494e-05,0.00033634843555426414,0.26306771486997604,0.447025587161382,0.30143844584623974,0.2638128971060117,0.06263977972169717,0.0,0.1258034954468409,0.30880540361007053,-0.2662869642178218,0.391450693209966,0.11320921219885349,0.2321428544819355,-0.10119047885139783,0.7986157735188802,0.015488942464192709,0.14850250879923502
strength_gate,cover_rel_judge_uvu_strength_gate,std,3/3 complete,0.026092396481748836,0.035517162217248745,0.0018840154998120836,0.003545945516969698,0.0004876834460848137,0.00045211391340439446,0.00014973820235487017,0.0005825725794262917,0.191960854233163,0.3126642981898815,0.2149350271392374,0.15377787712785862,0.04561822450449556,0.0,0.1042794802777353,0.22611050405357314,0.31042457015386543,0.12100179403518192,0.10529591144842546,0.35669614416881307,0.7994603792412446,0.19807457987568503,0.02997146598767202,0.2111429797252513
