dataset,experiment,run_name,n_seeds_present,auprc_mean,auprc_std,roc_auc_mean,roc_auc_std,macro_f1_mean,macro_f1_std,g_means_mean,g_means_std,diag_mean_abs_delta_rel_mean,diag_mean_abs_delta_rel_std,diag_mean_alpha_llm_mean,diag_mean_alpha_llm_std,diag_mean_alpha_llm_accepted_mean,diag_mean_alpha_llm_accepted_std,diag_mean_alpha_llm_rejected_mean,diag_mean_alpha_llm_rejected_std,diag_mean_gate_entropy_mean,diag_mean_gate_entropy_std,diag_mean_dominance_rho_mean,diag_mean_dominance_rho_std,diag_judge_align_count_mean,diag_judge_align_count_std,max_rejected_alpha_violation
yelpchi,E0,phase2_E0_relgate,5,0.5668884010395908,0.015083207184770487,0.8664902443592175,0.0048632138951268085,0.7279102226267915,0.005484283066911033,0.7110298438291006,0.011846155888011385,1.4912667274475098,0.0660141293068417,0.0,0.0,nan,nan,0.0,0.0,0.004617637908086181,0.0025587301004121586,0.7209841847419739,0.21908922216110532,nan,nan,0.0
yelpchi,E1,phase2_E1_judge_align,5,0.567477011092138,0.014450996098118696,0.8671714721930882,0.004559613393476023,0.7278005506696473,0.004635829571886794,0.7030380108329062,0.016003436884216137,1.4724367380142211,0.03909006106947686,0.0,0.0,0.0,0.0,0.0,0.0,0.27451551258563994,0.0861440393942948,0.7048614382743835,0.10319715379793547,nan,nan,0.0
yelpchi,E2,phase2_E2_judge_residual,5,0.5676380166125967,0.014443624052991906,0.8672926615502434,0.004519297666178424,0.7279461177016231,0.004468595002977564,0.7095062916317326,0.01736494620943132,1.461007785797119,0.03362579740551416,9.0768224617932e-05,1.3352779891785287e-05,0.09123027622699738,0.01030571189708871,0.0,0.0,0.25913416147232055,0.05847893233065157,0.6969213008880615,0.10477246324747286,nan,nan,0.0
yelpchi,E3,phase2_E3_no_trust,5,0.5671975093981364,0.014634570592110903,0.8667904511003113,0.004511295551484324,0.7284869058530706,0.004612773760183613,0.7069655489123156,0.012156597804632237,1.5085621356964112,0.038152544487953306,9.111959661822766e-05,1.3616778463403975e-05,0.09154162406921387,0.010178934877640235,0.0,0.0,0.20587332546710968,0.06220790120758717,0.7699942588806152,0.11969494453901698,nan,nan,0.0
amazon,E0,phase2_E0_relgate,5,0.8642702598265796,0.0184660867776922,0.9747542775178444,0.0065160911897914455,0.9112760372107903,0.0033276081195145442,0.8884512118911115,0.017454729748726725,1.139126193523407,0.49159643753730115,0.0,0.0,nan,nan,0.0,0.0,0.3708439027424902,0.5011992984578232,0.5094758093357086,0.5052681343985175,nan,nan,0.0
amazon,E1,phase2_E1_judge_align,5,0.864362729197842,0.01862578348265702,0.9747851507803695,0.00652531365562815,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1481110334396363,0.4657742469776947,0.0,0.0,0.0,0.0,0.0,0.0,0.5766259424388409,0.4255098536329532,0.4077228054404259,0.48650381971332507,nan,nan,0.0
amazon,E2,phase2_E2_judge_residual,5,0.8643647426439601,0.01862512723071345,0.974784467743588,0.006525151731172029,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1481113195419312,0.465774492459042,2.7423546271165833e-05,3.052100903588199e-05,0.00556908049620688,0.006497400873660324,0.0,0.0,0.5766086023300886,0.42552391013547275,0.40772407576441766,0.48650630345803886,nan,nan,0.0
amazon,E3,phase2_E3_no_trust,5,0.8639647427068318,0.018789309329140025,0.9745531914893617,0.006490460644878611,0.9133118076726486,0.0032522345116113966,0.8887697634267642,0.01559326127938123,1.1530224680900574,0.4697600379315749,5.835113806824665e-05,0.00010062229849561076,0.012048458261415363,0.02118430792409736,0.0,0.0,0.5944588396698236,0.3916087512964168,0.4740215614438057,0.6416622956190781,nan,nan,0.0
