relation_set,seed,relation,stat,mean,std,min,q05,q50,q95,max,degree_q10,degree_q90,feature_deviation_q90,neighbor_cosine_q10,fraud_proto_train_nodes,benign_proto_train_nodes,prototype_labels,test_label_used
uvu,42,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,neighbor_cosine,0.3666815459728241,0.4482899308204651,0.0,0.02060605026781559,0.037892021238803864,0.9998300075531006,0.9999892711639404,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,zscore_high_fraction,0.053576696664094925,0.09629019349813461,0.0,0.0,0.0,0.2800000011920929,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,fraud_proto_dist_z,-3.8485516995478974e-08,0.9999999403953552,-1.9626026153564453,-1.560865044593811,0.08304335176944733,1.2229745388031006,10.284629821777344,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,benign_proto_dist_z,3.5451389379659304e-08,1.0,-2.553809642791748,-2.0498788356781006,0.2945307791233063,0.3065130412578583,9.590435028076172,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,42,UVU,fraud_minus_benign_margin_z,1.0986737208895647e-07,0.9999999403953552,-0.4312734603881836,-0.4309549033641815,-0.43059977889060974,2.4456324577331543,2.4467222690582275,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,319,4425,train_only,False
uvu,123,UVU,log_degree_norm,0.48948347568511963,0.16314803063869476,0.0,0.20416197180747986,0.5139896869659424,0.7403689026832581,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,degree_top10,0.10005023330450058,0.3000669777393341,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,degree_low,0.10222706198692322,0.30294668674468994,0.0,0.0,0.0,1.0,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,feature_l2_deviation_z,-1.9162913478254495e-09,0.9999999403953552,-1.7532777786254883,-1.5425649881362915,0.020388273522257805,1.6036139726638794,7.872159004211426,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,neighbor_cosine,0.3666815459728241,0.4482899308204651,0.0,0.02060605026781559,0.037892021238803864,0.9998300075531006,0.9999892711639404,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,zscore_high_fraction,0.053576696664094925,0.09629019349813461,0.0,0.0,0.0,0.2800000011920929,1.0,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,fraud_proto_dist_z,1.0795108096317563e-07,0.9999999403953552,-2.007075309753418,-1.595445990562439,0.09734535962343216,1.1619527339935303,10.283225059509277,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
uvu,123,UVU,benign_proto_dist_z,5.78081227331495e-08,1.0,-2.5677740573883057,-2.067357063293457,0.3053399324417114,0.3147982656955719,9.506583213806152,9.0,411.7000000000007,1491.1762675504551,0.025005066188821878,317,4428,train_only,False
