dataset,base,mode,n_seeds,n_paired_vs_baseline,auprc_mean,auprc_std,capture_pct,teacher_auprc,base_only_auprc,t_vs_baseline,p_vs_baseline,sig_vs_baseline
yelpchi,bwgnn,off_policy,5,5,0.6152289340360182,0.0069252073514582775,93.81876705069708,0.6557631840371185,0.5002955143640119,nan,nan,
yelpchi,bwgnn,all_node_mh,5,5,0.6212259266364277,0.01140214442334948,94.73327288853474,0.6557631840371185,0.5002955143640119,2.6965506667204493,0.02714400631292404,★
yelpchi,bwgnn,det_mask,5,5,0.6194697481485119,0.0157915110113761,94.46546607493714,0.6557631840371185,0.5002955143640119,0.943727154540198,0.19937242702004737,
yelpchi,bwgnn,g_opd_flash,5,5,0.6197081762933114,0.010671690693356243,94.50182495427096,0.6557631840371185,0.5002955143640119,2.4527513008053523,0.03511847787875288,★
yelpchi,bwgnn,opd_action_strict,5,5,0.622370022661903,0.01209842143377637,94.90774075335626,0.6557631840371185,0.5002955143640119,2.295137031752589,0.041692029494885645,★
yelpchi,bwgnn,opd_action_strict_mh,5,5,0.6172855846194201,0.009706168279428285,94.13239407848178,0.6557631840371185,0.5002955143640119,1.3614970639225727,0.12250016088753066,
yelpchi,sage,off_policy,5,5,0.5971531235146424,0.011722724233899086,91.91861546102226,0.6496541756200223,0.44733600064317436,nan,nan,
yelpchi,sage,all_node_mh,5,5,0.6152911071770248,0.010522427594623483,94.71055990516774,0.6496541756200223,0.44733600064317436,3.5932067386431084,0.011448135349610374,★
yelpchi,sage,det_mask,5,5,0.6257846374451027,0.018540288544611077,96.32580855004299,0.6496541756200223,0.44733600064317436,2.407454816708231,0.036878933443884425,★
yelpchi,sage,g_opd_flash,5,5,0.6123613457333745,0.010647005307200308,94.25958744110959,0.6496541756200223,0.44733600064317436,3.3597666179469785,0.014155486273055315,★
yelpchi,sage,opd_action_strict,5,5,0.6150312906120422,0.009663036315829885,94.67056684813325,0.6496541756200223,0.44733600064317436,2.727005647543261,0.026302575793489748,★
