dataset,relation_setting,seeds,delta_auprc,delta_roc_auc,delta_macro_f1,interpretation
yelpchi,all,3,0.019772100217192872,0.005973779496485809,0.006111959943681855,positive
yelpchi,rur,3,0.024725057822536606,0.007059406352780758,0.011497065256984462,dominant
yelpchi,rsr,3,-0.00025866096589005627,-9.512103140459545e-05,-0.01761554181217832,weak/noisy
yelpchi,rtr,3,0.0010636158141350733,0.00020200212017829067,-0.015836397360398474,weak/noisy
amazon,upu,3,0.0016004493802922088,0.0005967464681306082,0.0015928848864423806,weak positive
amazon,usu,3,0.0019055079047214374,0.0008861263845724165,0.0007463948579772284,weak positive
amazon,uvu,3,0.002272785399401678,0.0010008765638695645,0.0007463948579772284,best single
amazon,all,3,0.0022871084119977883,0.0009899479753651501,0.001009326248246271,weak positive
