dataset,verdict,reason,best_relation,best_single_delta_auprc,anchor_gate_delta_auprc,base_gate_delta_auprc,conservative_delta_auprc,anchor_gate_delta_vs_best_single,base_gate_delta_vs_best_single,conservative_delta_vs_best_single,anchor_gate_near_cap,base_gate_near_cap,conservative_near_cap,best_single_near_cap
yelpchi,Acceptable GO,anchor_gate is within 0.002 AUPRC of best-single with stability or near-cap benefit.,RUR,0.02709938274370525,0.026584840886793925,0.016175136918508935,,-0.0005145418569113214,-0.01092424582519631,,0.682956862449646,0.8380685091018677,,0.731901478767395
amazon,Strong GO,anchor_gate matches or exceeds best-single mean Delta AUPRC.,UVU,0.0031585023072043363,0.0035077613595816625,0.0034015889180685653,0.0017849882558823582,0.0003492590523773265,0.00024308661086422934,-0.0013735140513219779,0.9127260565757751,0.9120730042457581,0.0,0.8285331487655639
