dataset,model,run_name,seed,metrics_present,diagnostics_present,auprc,roc_auc,macro_f1,g_means,diag_mean_abs_delta_rel,diag_mean_alpha_llm,diag_mean_alpha_llm_accepted,diag_mean_alpha_llm_rejected,diag_max_abs_alpha_llm_rejected,diag_mean_gate_entropy,diag_mean_dominance_rho,diag_gate_weight_rel_0,diag_gate_weight_rel_1,diag_gate_weight_rel_2
amazon,bwgnn,phase2_amz_yelpstyle_lalign1em2_alpha0_cuda_tb,42,True,True,0.8654492943920131,0.9697886001161162,0.9123177053300362,0.8682036252632532,1.1752080917358398,0.0,0.0,0.0,0.0,0.7632019519805908,0.042314354330301285,0.042375147342681885,0.3768383264541626,0.5807865262031555
amazon,bwgnn,phase2_amz_yelpstyle_lalign1em2_alpha0_cuda_tb,123,True,True,0.8593177780070104,0.9819582664526485,0.9132886793418851,0.8873725678143825,1.9096136093139648,0.0,0.0,0.0,0.0,0.3096347749233246,0.4804801344871521,0.05791028216481209,0.03247174993157387,0.9096179008483887
amazon,bwgnn,phase2_amz_yelpstyle_lalign1em2_alpha0_cuda_tb,456,True,True,0.8613356656267164,0.9766927359038284,0.9070860558208327,0.8880639004068915,1.7734521627426147,0.0,0.0,0.0,0.0,0.6982585191726685,0.9065876007080078,0.15099214017391205,0.21085630357265472,0.6381515264511108
amazon,bwgnn,phase2_amz_yelpstyle_lalign1em2_alpha0_cuda_tb,789,True,True,0.8433505686147621,0.9666650729141764,0.91643962359962,0.8799253595426013,0.8755648136138916,0.0,0.0,0.0,0.0,0.13548845052719116,0.0387844517827034,0.012878218665719032,0.01462407223880291,0.9724977016448975
amazon,bwgnn,phase2_amz_yelpstyle_lalign1em2_alpha0_cuda_tb,2026,True,True,0.895943638703332,0.9815955739216556,0.9142216493588475,0.9150696964902657,1.317779779434204,0.0,0.0,0.0,0.0,0.8148238062858582,1.0490955114364624,0.3951079845428467,0.284257709980011,0.32063427567481995
