dataset,method,role,seeds_complete,roc_auc,roc_auc_std,auprc,auprc_std,delta_auprc_vs_base,delta_auprc_vs_gate,macro_f1,macro_f1_std
yelpchi,Fresh BWGNN,base,5,0.801386821744053,0.014377039318401761,0.4577084210752364,0.025333658187098925,0.0,,0.6379248740297486,0.022624069827274045
yelpchi,CoVER-REL RUR-only,best-single relation,5,0.8086874176989602,0.01483758781350125,0.4848078038189417,0.025812273145948757,0.02709938274370525,0.0005145418569113214,0.6406288469073012,0.0363979570664069
yelpchi,CoVER-REL-Gate,main detector,5,0.8082558938917309,0.01544774732153985,0.4842932619620304,0.028931737728223175,0.026584840886793925,0.0,0.64279537950451,0.03314111189065236
yelpchi,CoVER-REL-Judge,LLM-assisted research model,5,0.8070398181721172,0.015834648125174895,0.48430295136989965,0.03518604865750698,0.026594530294663198,9.689407869273303e-06,0.6507908348892992,0.03280280342210333
amazon,Fresh BWGNN,base,5,0.9585180833987911,0.027334099006239447,0.8512002135954072,0.02234608230206523,0.0,,0.9170104098320603,0.006001531918473691
amazon,CoVER-REL UVU-only,best-single relation,5,0.9597314299375022,0.02684750741605465,0.8543587159026116,0.022297201368259755,0.0031585023072043363,-0.0003492590523773265,0.9174582467468466,0.0056311807671338325
amazon,CoVER-REL-Gate,main detector,5,0.9599571052901199,0.026341619185844177,0.8547079749549888,0.022152443908778133,0.0035077613595816625,0.0,0.9181168800129631,0.005332054760728729
amazon,CoVER-REL-Judge,LLM-assisted research model,5,0.959810798811516,0.02657576732906794,0.8549319366559072,0.02229084333980537,0.0037317230604999143,0.0002239617009182515,0.9181687508478257,0.005300552181230077
